"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"167",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"168",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"169",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
"170",5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"171",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"172",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"173",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"174",5,4,5,4,4,3,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,3
"175",4,5,4,5,4,3,3,4,5,3,4,3,4,3,4,4,4,4,4,4,3,5,3
"176",5,4,5,4,4,5,5,4,5,4,4,5,4,4,5,4,5,5,5,4,5,4,5
"177",4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5
"178",4,5,5,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5
"179",4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5
"180",4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
"181",5,4,4,4,4,4,4,4,5,4,4,2,3,3,3,3,4,4,3,3,3,3,4
"182",5,4,4,4,4,4,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"183",5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"184",5,4,5,4,3,4,3,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
"185",5,4,4,5,4,4,4,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4
